brand
heineken brouwerijen b.v.
hello family
henniez
herbamare
hero
hfc gmbh
hiestand
hilcona
hipp
hirz
hochdorf
hofmärcht
hug
hugo
hugo reitzel
héro
il gusto del ticino
ip-suisse
iris
jam jam
jamadu
jean louis
jean-louis
jean-louis - val d'arve sa
jean-louis - val d'arve sa - groupe laiteries réunies
jowa
jurasel
jurasel - schweizer salinen ag
just4youcoaching
kaiku
kaiku caffè latte
kaltbach
kambly
karma
kernser
knorr
kochbutter
koneo
kraftstoff zum devo laufe.
kägi
käsegenuss
käserebellen
käserei gohl
l'ancêtre
la cave de genève
la coupe
la crêpière sàrl
la perche loe
la route des alpes
la semuse
lactalis nestlé
laktosefrei
larusée
lavazza
lc1
le beurre
le cellier
le corbier
le fou du roi
le fromager des halles
le grand pré
le gruyère
le gruyère aop
le gruyère switzerland aoc
le maréchal
le moulin d’echallens
le parfait
le patron
le petit chevrier
le sapalet
le sapalet sarl
le sucre
lee sport
lee-sport
leisi
les granolas
les herbes d'oron sarl
lidl
lima
lindor
lindt
lindt & sprungli
lindt & sprungli (schweiz) ag
lindt & sprüngli
lindt lindor
lovilio
lyner
lyoba
läderach
lätta
léger
léguriviera
l’oste cucinamediterranea
m
m budget
m classic
m&s
m&s food
m- classic
m-budget
m-classic
m-classic - migros industrie
m. + r. schwab ag
maestade
maestrade
maggi
malbuner
malbunner
mana
mango joghurt
manor
manor food
marché franprix
mari gold
marie
marks & spencer
markthalle luzern
marque repère
mars
mascao
masshard
mclassic
mcsoyana
meat&more
meine käsetheke
merle
meryrin
meyrin
micarna
michel
midor
mifroma
mifroma switzerland
migrolino
migros
migros aus der natur
migros bio
migros bio - migros industrie
migros bon chef
migros budget
migros condy
migros daily
migros fresca
migros industrie
migros industries
migros ip-suisse
migros jurasel
migros jurasel - schweizer salinen ag
migros m-classic
migros micarna ag
migros mifroma le gruyère switzerland
migros selection
migros sélection
migros terrasuisse
migros you
milbona
milco
milfina
milka
milsani
mindor
mirador
mister rice
mivolis
mixit
mmmh
mohl
molkerei biedermann ag
molkerei forster
molkerei fuchs
mollini
moléson
moments
mon village
mondelez
mondelez international
mondeléz
mondelēz
mondelēz international
mono
monoprix
monoprix gourmet
morand
morga
morgan suisse
mosterei möhl ag
moulin de severy
moulin de sévery
movenpick
munz
mutti-hof
mäder kräuter
möhl
mövenpick
natur pur
natura plan
natura plan teigwaren
natura-beef
naturafarm
naturafarm coop
naturaplan
naturaplan bio
naturaplan coop
naturata
nature active bio
nature joghurt 0.1
nature suisse
nature suisse bio
nature valley
naturesuisse
naturesuisse bio
natürli
neatea
nectaflor
nescafe
nescafé
nespresso
nestea
nestle
nestle phils.
nestlé
new roots
niels rodin
nimm2
no normal gmbh
no plantes ont du talent ®
nos plantes ont du talent
nos plantes ont du talent ®
nostrani ticino
notre sélection
nutrifrais sa
néstle
oh
oh!
olderhof
oliver's toast
opaline
optigal
options
orfève
organix
oriental flavor
original
original swiss
orior
ospelt
oswald
osé bio
ottiger
ovo maltine
ovomaltine
ovomaltine - wander - associated british foods
ovomaltine der klassiker
pain création
panflor
panofina
parisienne
party
passe-vite
passion
pav sa
perfectyouworld
perle de lait
pico
pilatus getränke alpnach
pitteloud-fruir sa
pjur
plant kitchen
plant-for-the-planet
planted
pouce
prario
president's choice
pri mate
primans
prix garantie
prix garantie coop
pro montagna
protaneo
protaneo - ip-suisse/feldkost food ag/groupe minoteries sa
protaneo - ip-suisse/feldkost food ag/groupe minoteries sa (gmsa)
protein 2g
pure nature
qualité & prix
qualité & prix - coop
qualité &prix
raaj
raccard
raclette
ragusa
ramseier
rapelli
rapelli - orior
rapunzel
red bull
reflets de france
rema 1000
retour aux sources
rewe
rewe feine welt
rhythm 108
ricola
rio d'oro
rivella
roberto
roberto sa
roberto sa meyrin
rohner
roland
rosalp
rossmann
sa meyrin
sabo
sainsbury's
saison
saladinettes
salaison d’anniviers
salz migros jurasel
sami
san clemente
san fabio
sans marque
sarasay
sauser
saveur de gruyère
saveurs de gruyere
saveurs suisses
schintbühl
schirmer
schlatter kräuter
schwartz
schweizer
schweizer salinen ag
schweppes
schwyzer milchhuus
schöni
sciaroni
sel des alpes
select & go
select &go
selection
selection premium
sembrancher
sempione ag
sennerei bachtel
sgc swiss consumer goods
sirocco
skai
slimline
snack fun
soja line
sonnenbräu
source dorénaz
source du pays
spar
spar natur pur
spar natur*pur
spar naturpur
specially selected
speicalite suisse
sponser
spécialité suisse
st. alpine
st. galler
stalden
stalder
stedy
stocki
storck
strähl
strähl käse ag
stähli produits fermiers
subito
sugar13g
suter viandes sa
sutter villeneuve
suttero
swiss alpina
swiss alpine herbs
swiss chocolatier
swiss classic
swiss delice
swiss knight
swiss premium
swisscow sa
swissfruit
swyss farms
tam tam
tamtam
tegut...
terra natura
terra suisse
terrasuisse
terroir
the frozen butcher
the green mountain
the lickin' company
thomy
ticinella
tobi seeobst
toblerone
toni's
torino
total fat 5g %
tradition
tradition - migros industrie
transgourmet
trottet
tröpfel
u
u saveurs
ultravins - cave de la côte
unilever
update
upfield
urdinkel
v-love
v-love migros
vacherin mont-d'or
val d'arve
valait
valflora
valflora - migros industrie
valser
veganz
vemondo
verfora sa
victoria
villars
viologic
vita d'or
vivi
vivi kola
vivitz
volg
véron
walker
walker bergkäserei ag
walter buchmann
wander
wander gmbh
waterbridge
weight watchers
weightwatchers
werly
wernli
western family
wild foods
wild foods gmbh
willpowders
woolworths
yogos
yoplait
yoqua
you
yupi
zazubean
zazubean organic chocolate
zenhäusern
zibu
zile
zuber
zucker aarberg
zuckermühle rupperswil
zuger
zweifel
zweifel - zweifel chips & snacks ag
zweifel - zweifel pomy-chips ag
zweifel berger
zweifel graneo snacks
zweifel joujoux chips
zweifel kezz kesselchips
zweifel original chips
zweifel wave chips
züger
züger frischkäse
züger frischkäse gmbh
züger vegan
îris
ökodorf brodowin
ölz
своге
ริโคลา
